
### TRUSTABLE-SOFTWARE | Reviewed: ✔ | Score: 0.75249 
This release of JSON-Library also referred in the documentation as nlohmann/json library is Trustable.


**Supported Requests:**

_None_

**Supporting Items:**

| Item  | Summary  | Score  | Status  |
| --- | --- | --- | --- |
| [TT-CHANGES](TT.md#tt-changes)  | The nlohmann/json library is actively maintained, with regular updates to dependencies, and changes are verified to prevent regressions. | 0.77 | ✔ Item Reviewed<br>✔ Link Reviewed |
| [TT-CONFIDENCE](TT.md#tt-confidence)  | Confidence in the nlohmann/json library is achieved by measuring and analysing behaviour and evidence over time within eclipse-score/inc_nlohmann_json. | 0.65 | ✔ Item Reviewed<br>✔ Link Reviewed |
| [TT-CONSTRUCTION](TT.md#tt-construction)  | Tools are provided to build the nlohmann/json library from trusted sources (also provided) with full reproducibility. | 0.66 | ✔ Item Reviewed<br>✔ Link Reviewed |
| [TT-EXPECTATIONS](TT.md#tt-expectations)  | Documentation is provided within eclipse-score/inc_nlohmann_json, specifying what the nlohmann/json library is expected to do, and what it must not do, and how this is verified. | 0.52 | ✔ Item Reviewed<br>✔ Link Reviewed |
| [TT-PROVENANCE](TT.md#tt-provenance)  | All inputs (and attestations for claims) for the nlohmann/json library are provided with known provenance. | 0.99 | ✔ Item Reviewed<br>✔ Link Reviewed |
| [TT-RESULTS](TT.md#tt-results)  | Evidence is provided within eclipse-score/inc_nlohmann_json to demonstrate that the nlohmann/json library does what it is supposed to do, and does not do what it must not do. | 0.92 | ✔ Item Reviewed<br>✔ Link Reviewed |



**References:**

_None_



**Fallacies:**

_None_

**Graph:**

![No Image](figs/TRUSTABLE-SOFTWARE.svg)

|date-time|TRUSTABLE-SOFTWARE|TT-CHANGES|TT-CONFIDENCE|TT-CONSTRUCTION|TT-EXPECTATIONS|TT-PROVENANCE|TT-RESULTS|
|-|-|-|-|-|-|-|-|
|2026-02-20 12:44:32|0.00 |0.00 |0.00 |0.00 |0.00 |0.00 |0.00 |
|2026-03-16 08:31:01|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-03-16 09:17:11|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-03-16 10:51:53|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-03-17 16:20:15|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-03-28 06:12:35|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-03-31 13:08:48|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-04-07 14:58:44|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-04-15 09:58:18|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-04-29 07:48:13|0.08 |0.50 |0.00 |0.00 |0.00 |0.25 |0.00 |
|2026-07-29 12:21:26|0.81 |0.77 |0.86 |0.67 |0.58 |0.99 |1.00 |
|2026-08-08 15:44:48|0.78 |0.77 |0.65 |0.67 |0.58 |0.99 |1.00 |
|2026-08-12 07:29:01|0.75 |0.77 |0.65 |0.66 |0.52 |0.99 |0.92 |
|2026-08-12 08:21:48.938499|0.75 |0.77 |0.65 |0.66 |0.52 |0.99 |0.92 |

